"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"c:\Users\anees\projects\chess\Cargo.lock", "TOML", 4490, 0, 2, 478, 4970
"c:\Users\anees\projects\chess\Cargo.toml", "TOML", 15, 0, 0, 4, 19
"c:\Users\anees\projects\chess\src\app\app.rs", "Rust", 0, 36, 0, 7, 43
"c:\Users\anees\projects\chess\src\app\cursor.rs", "Rust", 0, 72, 0, 18, 90
"c:\Users\anees\projects\chess\src\app\mod.rs", "Rust", 0, 6, 2, 2, 10
"c:\Users\anees\projects\chess\src\app\render_layer.rs", "Rust", 0, 25, 0, 5, 30
"c:\Users\anees\projects\chess\src\board\board_position.rs", "Rust", 0, 66, 0, 15, 81
"c:\Users\anees\projects\chess\src\board\chessboard.rs", "Rust", 0, 50, 0, 13, 63
"c:\Users\anees\projects\chess\src\board\mod.rs", "Rust", 0, 10, 3, 4, 17
"c:\Users\anees\projects\chess\src\board\pieces.rs", "Rust", 0, 58, 0, 12, 70
"c:\Users\anees\projects\chess\src\handler\color_handler.rs", "Rust", 0, 62, 0, 15, 77
"c:\Users\anees\projects\chess\src\handler\handler.rs", "Rust", 0, 17, 0, 5, 22
"c:\Users\anees\projects\chess\src\handler\mod.rs", "Rust", 0, 10, 2, 4, 16
"c:\Users\anees\projects\chess\src\handler\piece_sprite_handler.rs", "Rust", 0, 25, 0, 8, 33
"c:\Users\anees\projects\chess\src\lib.rs", "Rust", 0, 4, 0, 1, 5
"c:\Users\anees\projects\chess\src\main.rs", "Rust", 0, 5, 0, 2, 7
"c:\Users\anees\projects\chess\src\turn\execute_move.rs", "Rust", 0, 2, 0, 2, 4
"c:\Users\anees\projects\chess\src\turn\highlight_move.rs", "Rust", 0, 32, 0, 5, 37
"c:\Users\anees\projects\chess\src\turn\mod.rs", "Rust", 0, 12, 3, 4, 19
"c:\Users\anees\projects\chess\src\turn\selector.rs", "Rust", 0, 87, 0, 19, 106
"Total", "-", 4505, 579, 12, 623, 5719